序号,原名称,核实后名称,装机容量MW,省,市,区,详细地址,电场名称线索文本,电场名称线索参考地址,装机容量线索文本,装机容量线索参考地址,确信度,搜索状态,搜索关键词,经度,纬度,地理编码结果
11,剑角峰风电场,开远剑角峰风电场,300,云南省,红河州,开远市,云南省红河州开远市中和营镇、乐白道街道一带山脊及山顶台地,开远剑角峰风电场,http://www.cpnn.com.cn/qiye/fadianPD2023/202307/t20230710_1616261.html,300MW,http://www.cpnn.com.cn/qiye/fadianPD2023/202307/t20230710_1616261.html,高,地理编码成功,云南省红河州开远市中和营镇、乐白道街道一带山脊及山顶台地,103.2725,23.71539,success: detail_address
12,大海梁子风电,会泽大海梁子风电场,48,云南省,曲靖市,会泽县,云南省曲靖市会泽县大海乡大海梁子主山脊（北起三道坪，南到白龙潭丫口）,会泽大海梁子风电场,https://wind.in-en.com/html/wind-2317325.shtml,48MW,https://wind.in-en.com/html/wind-2317325.shtml,高,地理编码成功,云南省曲靖市会泽县大海乡大海梁子主山脊（北起三道坪，南到白龙潭丫口）,103.22896,26.309717,success: detail_address
13,冷泉风电场,风吹山风电场,77,云南省,保山市,施甸县,云南省保山市施甸县甸阳镇、木老元乡、摆榔乡、仁和镇山脊,风吹山风电场,https://news.bjx.com.cn/html/20230811/1325160.shtml,77MW,https://news.bjx.com.cn/html/20230811/1325160.shtml,高,地理编码成功,云南省保山市施甸县甸阳镇、木老元乡、摆榔乡、仁和镇山脊,99.17187,24.77257,success: detail_address
14,大风坝,华能大理大风坝风电场,48,云南省,大理州,大理市,云南省大理州大理市南面者摩山（大风坝东西两侧山脊）,华能港灯大理大风坝风电场,https://www.big-bit.com/news/40245.html,48MW,https://m.bjx.com.cn/mnews/20081110/155091.shtml,高,地理编码成功,云南省大理州大理市南面者摩山（大风坝东西两侧山脊）,100.272056,25.544805,success: detail_address
15,大黑山风电场,开远大黑山风电场,270,云南省,红河州,开远市,云南省红河州开远市（中和营镇、乐白道街道、羊街镇一带）,大黑山风电场,https://news.bjx.com.cn/html/20150715/641953.shtml,270MW,https://news.bjx.com.cn/html/20150715/641953.shtml,高,地理编码成功,云南省红河州开远市（中和营镇、乐白道街道、羊街镇一带）,103.2725,23.71539,success: detail_address
16,弥勒西风电场,三峡弥勒西风电场,550,云南省,红河州,弥勒市,云南省红河州弥勒市西一镇、西二镇、五山乡、虹溪镇、巡检司镇,三峡能源云南弥勒西风电场,https://www.sohu.com/a/663382166_115239,550MW,https://www.sohu.com/a/663382166_115239,高,地理编码成功,云南省红河州弥勒市西一镇、西二镇、五山乡、虹溪镇、巡检司镇,103.26654,24.46412,success: detail_address
17,大海梁子（含二期）,会泽大海梁子风电场,48,云南省,曲靖市,会泽县,云南省曲靖市会泽县大海乡大海梁子主山脊（北起三道坪，南到白龙潭丫口）,大海梁子风电场,https://wind.in-en.com/html/wind-2317325.shtml,48MW,https://wind.in-en.com/html/wind-2317325.shtml,高,地理编码成功,云南省曲靖市会泽县大海乡大海梁子主山脊（北起三道坪，南到白龙潭丫口）,103.22896,26.309717,success: detail_address
18,大海梁子风电（金钟2期）,,,云南省,曲靖市,会泽县,云南省曲靖市会泽县（金钟镇、大海乡）,待核实,,,中,待核实,已完成,电场名称:,,,skipped: 确信度为空或待核实
19,待补风电,会泽待补风电场,,云南省,曲靖市,会泽县,云南省曲靖市会泽县南部驾车乡、田坝乡（一期188MW；二期位于会泽县南部山脊，涉及待补镇、上村乡、驾车乡，182.3MW）,会泽县待补风电场一期(会泽南)项目+待补风电二期,https://news.bjx.com.cn/html/20210609/1157419.shtml,,中,高,地理编码成功,,,,skipped: 确信度为空或待核实
20,弥勒东风电,永宁风电场（弥勒片区）,,云南省,红河州,弥勒市,"云南省红河州弥勒市东山镇（可能为永宁风电场弥勒片区一部分，无独立""东风风电场""信息）",待核实,,,中,待核实,部分命中,弥勒东风风电场 建设地点 地址,,,skipped: 确信度为空或待核实
21,待补风电,会泽待补风电场,189+182.3,云南省,曲靖市,会泽县,驾车乡、田坝乡,会泽待补风电场一期189MW+二期182.3MW,https://wind.in-en.com/html/wind-2408712.shtml,189MW+182.3MW,https://wind.in-en.com/html/wind-2408712.shtml,高,地理编码成功,驾车乡、田坝乡,103.36322,25.98827,success: detail_address
22,弥勒东风电,永宁风电场（弥勒片区）,23,云南省,红河州,弥勒市,东山镇,永宁风电项目南片区弥勒东风电场,https://www.163.com/dy/article/IE8KSJ5A055629B9.html,23MW（扩建）,https://so.html5.qq.com/page/real/search_news?docid=70000021_2886898646f17452,高,地理编码成功,云南省红河州弥勒市东山镇,103.6366,24.26199,success: province_city_district_detail
23,他期口,待核实-疑为村名或升压站,,云南省,,,"未找到（""他期口""可能为村名/小地名，无风电场以此命名，可能为升压站或机位点）",,低,待核实,,,未找到,他期口 云南 风电;他期口 会泽 风电 升压站 村,,,skipped: 确信度为空或待核实
24,仓房,会泽仓房风电场,48,云南省,曲靖市,会泽县,驾车乡大水村,会泽仓房风电场48MW,https://news.bjx.com.cn/html/20230222/1290232.shtml,48MW,https://news.bjx.com.cn/html/20230222/1290232.shtml,高,地理编码成功,驾车乡大水村,103.364568,26.051158,success: detail_address
25,保顶山,姚安保顶山风电场,,云南省,楚雄州,姚安县,云南省楚雄州姚安县前场镇,姚安保顶山风电场220kV升压站,https://www.bidcenter.com.cn/newscontent-74935937-4.html,,,高,已完成,电场名称:姚安保顶山风电场,101.234756,25.507264,success: province_city_district_detail
26,光梁子,富源光梁子风电场,48,云南省,曲靖市,富源县,后所镇,富源光梁子风电场,http://newenergy.in-en.com/html/newenergy-2286867.shtml,48MW,http://newenergy.in-en.com/html/newenergy-2286867.shtml,高,地理编码成功,后所镇,104.29482,25.80299,success: detail_address
27,凤屯,牟定凤屯风电场,49.5,云南省,楚雄州,牟定县,凤屯乡,中广核牟定凤屯风电场,https://www.bidcenter.com.cn/newscontent-7262225-1.html,49.5MW,https://www.bidcenter.com.cn/newscontent-7262225-1.html,高,地理编码成功,凤屯乡,101.45762,25.25345,success: detail_address
28,卓干山,禄劝卓干山风电场,36,云南省,昆明市,禄劝县,团街镇,禄劝卓干山风电场36MW,https://news.bjx.com.cn/html/20150715/642301.shtml,36MW,https://news.bjx.com.cn/html/20150715/642301.shtml,高,地理编码成功,团街镇,102.528,25.7656,success: detail_address
29,南庄,非风电场（南庄光伏电站）,,云南省,,,建水县南庄镇和岔科镇辖区内（确认为建水南庄光伏电站300MW，非风电场）,搜索结果为南庄光伏电站（300MW），非风电场,,,低,待核实,已确认非风电场,南庄风电场 云南 建水县 建设地点,,,skipped: 确信度为空或待核实
30,卢金山,待核实-疑为人名或误写,,云南省,,,"未找到（""卢金山""疑为人名或误写，无云南风电场以该名注册；尝试""鲁金山""亦无结果）",,未找到明确信息,中,待核实,,未找到,卢金山 云南 风电场;卢金山村 云南 曲靖 会泽;鲁金山 风电场 云南,,,skipped: 确信度为空或待核实
31,卫泸,永宁风电场（卫泸升压站）,,云南省,红河州,弥勒市,云南省红河州泸西县卫泸升压站附近,卫泸升压站,http://www.qianlima.com/gjxx/381333/index_29_2.html,,,高,地理编码成功,云南省红河州弥勒市云南省红河州泸西县卫泸升压站附近,103.45466,24.25447,success: province_city_district_detail
32,双龙,石林双龙箐风电场,49.5,云南省,昆明市,石林县,云南省昆明市石林县西街口镇、长湖镇、圭山镇附近,石林双龙箐风电场,http://news.bjx.com.cn/html/20130116/413820.shtml,49.5MW,http://news.bjx.com.cn/html/20130116/413820.shtml,高,地理编码成功,云南省昆明市石林县西街口镇、长湖镇、圭山镇附近,103.642746,24.836819,success: detail_address
33,向阳山,新平向阳山风电场,49.5,云南省,玉溪市,新平县,建兴乡,新平县向阳山风电场,https://news.bjx.com.cn/html/20140822/539329.shtml,49.5MW,https://news.bjx.com.cn/html/20140822/539329.shtml,高,地理编码成功,建兴乡,101.6352,23.68102,success: detail_address
34,哈科迪梁子风电场,新平哈科迪梁子风电场,49.5,云南省,玉溪市,新平县,新化乡,新平哈科迪梁子风电场,https://news.bjx.com.cn/html/20170616/831621.shtml,49.5MW,https://news.bjx.com.cn/html/20170616/831621.shtml,高,地理编码成功,云南省玉溪市新平县新化乡,101.85624,24.10913,success: province_city_district_detail
35,回龙梁子,金钟风电场一期回龙梁子升压站,（升压站名，非独立风电场）,云南省,曲靖市,会泽县,云南省曲靖市会泽县老厂乡（回龙梁子为金钟风电场一期的110kV升压站所在地，非独立风电场；金钟风电场一期涉及老厂乡、五星乡、娜姑镇、宝云街道、古城街道、以礼街道、钟屏街道）,金钟风电场一期110kV回龙梁子升压站,https://www.sohu.com/a/755508424_121613636,,,高,地理编码成功,云南省曲靖市会泽县待核实,103.498502,26.233661,success: detail_address
36,基洛山,弥勒基洛山升压站,,云南省,红河州,弥勒市,"云南省红河州弥勒市西部山区,共安装 88台风电机组, 其中20台5.0兆瓦、8台6.0兆瓦、60台6.7兆瓦机型,88台风力发电机组",基洛山升压站为弥勒西风电场配套设施,https://www.hh.gov.cn/info/11621/702502.htm,,,高,地理编码成功,云南省红河州弥勒市弥勒基洛山升压站,103.42951,24.41097,success: province_city_district_name
37,塔甸,峨山塔甸风电场,50MW,云南省,玉溪市,峨山县,塔甸镇,峨山县塔甸风电场,https://wind.in-en.com/html/wind-2286867.shtml,50MW,https://wind.in-en.com/html/wind-2286867.shtml,高,地理编码成功,塔甸镇,102.15743,24.25119,success: detail_address
38,大中山,大姚大中山风电场,49.5,云南省,楚雄州,大姚县,云南省楚雄州大姚县金碧镇和姚安县前场镇交界罗么乍箐头-松子山-大中山山脊,大中山风电场,https://www.163.com/dy/article/JBC3BD2Q0514C30V.html,49.5MW,https://www.163.com/dy/article/JBC3BD2Q0514C30V.html,高,地理编码成功,云南省楚雄州大姚县金碧镇和姚安县前场镇交界罗么乍箐头-松子山-大中山山脊,101.32199,25.72094,success: detail_address
39,大坪子,永善大坪子风电场,49.5,云南省,昭通市,永善县,伍寨乡,永善大坪子风电场,https://news.bjx.com.cn/html/20141124/567127.shtml,49.5MW,https://news.bjx.com.cn/html/20141124/567127.shtml,高,地理编码成功,伍寨乡,103.5243,27.60645,success: detail_address
40,大牛（含二期）,石屏大牛风电场,48+35,云南省,红河州,石屏县,牛街镇,石屏大牛风电场,https://newenergy.in-en.com/html/newenergy-2241288.shtml,48MW+二期35MW,https://newenergy.in-en.com/html/newenergy-2241288.shtml,高,地理编码成功,云南省红河州石屏县牛街镇,102.43562,23.45262,success: province_city_district_detail
41,大田,,,贵州省,,,贵州省毕节市金沙县大田乡、平坝镇,搜索结果为贵州金沙大田风电场，非云南,,,低,待核实,跳过,,,,skipped: 确信度为空或待核实
42,大绿山（含文兴北区）,中广核宣威大绿山风电场,,云南省,曲靖市,宣威市,宝山镇,中广核宣威大绿山风电场,https://www.xw.gov.cn/news/detail/54/33157.html,,,高,地理编码成功,云南省曲靖市宣威市宝山镇,104.46305,26.31484,success: province_city_district_detail
43,大莫古（含扩建）,陆良大莫古风电场,49.5,云南省,曲靖市,陆良县,大莫古镇,陆良大莫古风电场,https://m.bjx.com.cn/mnews/20121011/393615.shtml,49.5MW,https://m.bjx.com.cn/mnews/20121011/393615.shtml,高,地理编码成功,大莫古镇,103.5128,24.90346,success: detail_address
44,老尖山（含扩建）,大姚老尖山风电场,49.5+75,云南省,楚雄州,大姚县,云南省楚雄州大姚县与姚安县交界保顶山（距大姚县城约23km）,大姚老尖山风电场,https://www.sohu.com/a/1004000521_115377,49.5MW+扩建75MW,https://www.sohu.com/a/1004000521_115377,高,地理编码成功,云南省楚雄州大姚县与姚安县交界保顶山（距大姚县城约23km）,101.322344,25.716597,success: detail_address
45,大风丫口,富民大风丫口风电场,49.5,云南省,昆明市,富民县,永定镇/团结街道,大风丫口风电场,https://m.bjx.com.cn/mnews/20130409/427406.shtml,49.5MW（与马英山共用升压站）,https://m.bjx.com.cn/mnews/20130409/427406.shtml,高,地理编码成功,云南省昆明市富民县永定镇/团结街道,102.492719,25.225968,success: province_city_district_detail
46,马英山,富民马英山风电场,40.5,云南省,昆明市,富民县/西山区,云南省昆明市西山区与富民县交界的马英山山脊,马英山风电场,https://m.bjx.com.cn/mnews/20130409/427406.shtml,40.5MW,https://m.bjx.com.cn/mnews/20130409/427406.shtml,高,地理编码成功,云南省昆明市西山区与富民县交界的马英山山脊,102.69041,24.96725,success: detail_address
47,金铜盆,富民金铜盆风电场,38,云南省,昆明市,富民县,云南省昆明市富民县金铜盆山山脊,金铜盆风电场,https://m.bjx.com.cn/mnews/20130409/427406.shtml,38MW,https://m.bjx.com.cn/mnews/20130409/427406.shtml,高,地理编码成功,云南省昆明市富民县金铜盆山山脊,102.406694,25.28249,success: detail_address
48,卓干山（含二期）,富民卓干山风电场,,云南省,昆明市,富民县,云南省昆明市富民县与西山区交界的卓干山山脊,卓干山风电场,https://news.bjx.com.cn/html/20150715/642301.shtml,,,高,地理编码成功,云南省昆明市富民县与西山区交界的卓干山山脊,102.651464,25.449445,success: detail_address
49,将军山,华宁将军山风电场,49.5,云南省,玉溪市,华宁县,云南省玉溪市华宁县宁州镇、通红甸乡老象山脉大水井岩头山脊,将军山风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,49.5MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,高,地理编码成功,云南省玉溪市华宁县宁州镇、通红甸乡老象山脉大水井岩头山脊,102.9208,24.19045,success: detail_address
50,磨豆山,华宁磨豆山风电场,49.5,云南省,玉溪市,华宁县,云南省玉溪市华宁县与江川区交界处磨豆山,磨豆山风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,49.5MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,高,地理编码成功,云南省玉溪市华宁县与江川区交界处磨豆山,102.93221,24.19969,success: detail_address
51,大丫口,华宁大丫口风电场,49.5,云南省,玉溪市,华宁县,云南省玉溪市华宁县宁州镇/通红甸乡/盘溪镇老象山脉大水井岩头山脊,大丫口风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,49.5MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,高,地理编码成功,云南省玉溪市华宁县宁州镇/通红甸乡/盘溪镇老象山脉大水井岩头山脊,103.048092,24.232165,success: detail_address
52,李子箐,泸西李子箐风电场,,云南省,红河州,泸西县,云南省红河州泸西县周边山梁（李子箐/东山/东华/大坡顶各期工程）,李子箐风电场（含四期）,https://m.bjx.com.cn/mnews/20150122/584065.shtml,168MW,https://m.bjx.com.cn/mnews/20150122/584065.shtml,高,已完成,,,,skipped: 确信度为空或待核实
53,龙潭,陆良龙潭风电场,49.5,云南省,曲靖市,陆良县,云南省曲靖市陆良县境内,龙潭风电场,https://ynb.nea.gov.cn/dtyw/zcgz/202309/t20230911_35099.html,49.5MW,https://ynb.nea.gov.cn/dtyw/zcgz/202309/t20230911_35099.html,高,地理编码成功,云南省曲靖市陆良县境内,103.719704,24.903682,success: detail_address
54,马塘,陆良马塘风电场,49.5,云南省,曲靖市,陆良县,云南省曲靖市陆良县马塘镇,马塘风电场,https://ynb.nea.gov.cn/dtyw/zcgz/202309/t20230911_35099.html,49.5MW,https://ynb.nea.gov.cn/dtyw/zcgz/202309/t20230911_35099.html,高,地理编码成功,云南省曲靖市陆良县马塘镇,103.75595,24.96007,success: detail_address
55,罗平山（含改造）,洱源罗平山风电场,48.75+115.5,云南省,大理州,洱源县,乔后/炼铁/凤羽/茈碧,罗平山风电场,https://news.bjx.com.cn/topics/luopingshanfengdianchang/,48.75MW+改造115.5MW,https://www.sohu.com/a/1000105893_120444679,高,地理编码成功,云南省大理州洱源县乔后/炼铁/凤羽/茈碧,99.95817,26.11609,success: province_city_district_detail
56,野牛风电场,东川野牛风电场,48+48,云南省,昆明市,东川区,铜都街道/野牛村,东川野牛风电场,https://news.bjx.com.cn/html/20210331/1145011.shtml,48MW+48MW,https://news.bjx.com.cn/html/20210331/1145011.shtml,高,地理编码成功,铜都街道/野牛村,103.228913,25.991657,success: detail_address
57,野牛（含二期）,东川野牛风电场（一+二期）,96,云南省,昆明市,东川区,铜都街道,东川野牛风电场,https://news.bjx.com.cn/html/20210331/1145011.shtml,96MW,https://news.bjx.com.cn/html/20210331/1145011.shtml,高,地理编码成功,铜都街道,103.18777,26.07014,success: detail_address
58,杨梅山,陆良杨梅山风电场,49.5,云南省,曲靖市,陆良县,板桥镇,陆良杨梅山风电场,https://wind.in-en.com/html/wind-2343799.shtml,49.5MW,https://wind.in-en.com/html/wind-2343799.shtml,高,地理编码成功,云南省曲靖市陆良县板桥镇,103.74601,25.12493,success: province_city_district_detail
59,恩兆山,洱源恩兆山风电场,,云南省,大理州,洱源县,云南省大理州洱源县恩兆山,恩兆山风电场与罗平山相邻,https://news.bjx.com.cn/html/20080219/106857.shtml,,,高,地理编码成功,云南省大理州洱源县恩兆山,99.913065,26.226577,success: detail_address
60,骑龙山,洱源骑龙山风电场,126,云南省,大理州,洱源县,云南省大理州洱源县凤羽镇/乔后镇骑龙山,洱源骑龙山风电场,https://news.bjx.com.cn/html/20210331/1145011.shtml,126MW,https://news.bjx.com.cn/html/20210331/1145011.shtml,高,地理编码成功,云南省大理州洱源县凤羽镇/乔后镇骑龙山,99.811353,26.078679,success: detail_address
61,通泉（含扩建）,马龙通泉风电场,350,云南省,曲靖市,马龙区,云南省曲靖市马龙区月望乡/纳章镇与麒麟区、陆良县交界山脊,通泉风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_05260d6a68948152,350MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_05260d6a68948152,高,地理编码成功,云南省曲靖市马龙区云南省曲靖市马龙区月望乡/纳章镇与麒麟区、陆良县交界山脊,103.647077,25.369555,success: province_city_district_detail
62,白泥井,会泽白泥井风电场,32,云南省,曲靖市,会泽县,驾车乡,白泥井风电场,https://wind.in-en.com/html/wind-2293875.shtml,32MW,https://wind.in-en.com/html/wind-2293875.shtml,高,地理编码成功,驾车乡,103.36322,25.98827,success: detail_address
63,清水海,寻甸清水海风电场,49.5,云南省,昆明市,寻甸县,六哨乡,清水海风电场,https://news.bjx.com.cn/topics/qingshuihaifengdianchang/,49.5MW,https://news.bjx.com.cn/topics/qingshuihaifengdianchang/,高,地理编码成功,六哨乡,102.96918,25.62407,success: detail_address
64,大海子,寻甸大海子风电场,49.5,云南省,昆明市,寻甸县,云南省昆明市寻甸县六哨乡大海子村,大海子风电场（清水海风电场一片区）,https://www.bidcenter.com.cn/newscontent-7565125-1.html,49.5MW,https://www.bidcenter.com.cn/newscontent-7565125-1.html,高,地理编码成功,云南省昆明市寻甸县六哨乡大海子村,102.980596,25.567123,success: detail_address
65,海洋哨,寻甸海洋哨风电场,49.5,云南省,昆明市,寻甸县,云南省昆明市寻甸县六哨乡大窝铺村以西、大川峰村以东,海洋哨风电场（清水海一片区）,https://www.bidcenter.com.cn/newscontent-7565125-1.html,49.5MW,https://www.bidcenter.com.cn/newscontent-7565125-1.html,高,地理编码成功,云南省昆明市寻甸县六哨乡大窝铺村以西、大川峰村以东,102.926671,25.515479,success: detail_address
66,横河,寻甸横河风电场,49.5,云南省,昆明市,寻甸县,云南省昆明市寻甸县西南部柯渡镇与六哨乡,横河风电场（清水海一片区）,https://www.bidcenter.com.cn/newscontent-7565125-1.html,49.5MW,https://www.bidcenter.com.cn/newscontent-7565125-1.html,高,地理编码成功,云南省昆明市寻甸县西南部柯渡镇与六哨乡,102.96691,25.62508,success: detail_address
67,洒谷,巧家洒谷风电场,49.5,云南省,昭通市,巧家县,云南省昭通市巧家县崇溪镇洒谷村一带山脊,洒谷风电场,https://www.zbytb.com/s-zb-52060886.html,49.5MW,https://www.zbytb.com/s-zb-52060886.html,高,地理编码成功,云南省昭通市巧家县崇溪镇洒谷村一带山脊,103.10673,26.810991,success: detail_address
68,新厂沟,巧家新厂沟风电场,49.5,云南省,昭通市,巧家县,云南省昭通市巧家县崇溪镇北侧山区（新厂沟和中村山脊，海拔3000~3200米）,新厂沟风电场,https://www.zbytb.com/s-zb-52060886.html,49.5MW,https://www.zbytb.com/s-zb-52060886.html,高,地理编码成功,云南省昭通市巧家县崇溪镇北侧山区（新厂沟和中村山脊，海拔3000~3200米）,103.117018,26.905613,success: detail_address
69,海坝,巧家海坝风电场,49.5,云南省,昭通市,巧家县,云南省昭通市巧家县崇溪镇（海拔2850-3200米山脊）,海坝风电场,https://www.zbytb.com/s-zb-52060886.html,49.5MW,https://www.zbytb.com/s-zb-52060886.html,高,地理编码成功,云南省昭通市巧家县崇溪镇（海拔2850-3200米山脊）,103.15435,26.915678,success: detail_address
70,猴子山,个旧猴子山风电场,200,云南省,红河州,个旧市,云南省红河州个旧市老厂镇和卡房镇之间山脊,猴子山风电场,https://wind.imarine.cn/news/32552.html,200MW,https://wind.imarine.cn/news/32552.html,高,地理编码成功,云南省红河州个旧市老厂镇和卡房镇之间山脊,103.16752,23.1467,success: detail_address
71,大龙山,文山大龙山风电场/华宁大龙山风电场,24.3/56.25,云南省,文山州/玉溪市,丘北县/华宁县,云南省文山州丘北县腻脚乡大龙山（文山大龙山）/云南省玉溪市华宁县青龙镇东北部（华宁大龙山）,大龙山风电场,https://newenergy.in-en.com/html/newenergy-2451276.shtml,24.3MW（丘北）+56.25MW（华宁）,,高,地理编码成功,云南省文山州丘北县腻脚乡大龙山（文山大龙山）/云南省玉溪市华宁县青龙镇东北部（华宁大龙山）,103.086997,24.499422,success: detail_address
72,长田,昌宁长田风电场,43.75,云南省,保山市,昌宁县,温泉镇/漭水镇,长田风电场,https://www.163.com/dy/article/JQCC8D9J0512C38J.html,43.75MW,https://www.163.com/dy/article/JQCC8D9J0512C38J.html,高,地理编码成功,云南省保山市昌宁县温泉镇/漭水镇,99.698939,24.910842,success: province_city_district_detail
73,中寨,昌宁中寨风电场,37.5,云南省,保山市,昌宁县,温泉镇/田园镇,中寨风电场,https://finance.sina.com.cn/stock/aigc/tzxm/2026-04-08/doc-inhtuupu2724376.shtml,37.5MW,https://finance.sina.com.cn/stock/aigc/tzxm/2026-04-08/doc-inhtuupu2724376.shtml,高,地理编码成功,云南省保山市昌宁县温泉镇/田园镇,99.69773,24.69925,success: province_city_district_detail
74,富源西（含四期）,富源西风电场,800,云南省,曲靖市,富源县,中安街道/墨红镇,富源西风电场（国家电投）,https://www.sohu.com/a/674611212_121123698,800MW+四期147.4MW,https://www.sohu.com/a/674611212_121123698,高,地理编码成功,中安街道/墨红镇,104.25239,25.66635,success: detail_address
75,西泽,宣威西泽风电场,210,云南省,曲靖市,宣威市,务德镇/西泽乡/热水镇,宣威西泽风电场,https://www.sohu.com/a/749738719_121613636,210MW,https://www.sohu.com/a/749738719_121613636,高,地理编码成功,云南省曲靖市宣威市务德镇/西泽乡/热水镇,103.72044,26.26758,success: province_city_district_detail
76,巨龙梁,寻甸巨龙梁风电场,100,云南省,昆明市,寻甸县,金源乡/倘甸镇,巨龙梁风电场,https://zhuanlan.zhihu.com/p/599762000,100MW,https://zhuanlan.zhihu.com/p/599762000,高,地理编码成功,金源乡/倘甸镇,102.92251,25.77179,success: detail_address
77,高本山,寻甸高本山风电场,49.5,云南省,昆明市,寻甸县,云南省昆明市寻甸县高本山,高本山风电场（与巨龙梁共用升压站）,https://www.docin.com/p-2042858485.html,49.5MW,https://www.docin.com/p-2042858485.html,高,地理编码成功,云南省昆明市寻甸县高本山,103.406457,25.524794,success: detail_address
